Date,Time,SWR,RSSI,A1,A2,A3,A4,GPS Date,GPS Time,Long,Lat,Course,GPS Speed(kts),GPS Alt,Baro Alt(m),Vertical Speed,Air Speed(kts),Temp1,Temp2,RPM,Fuel,Cell volts,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Current,Consumption,Vfas,AccelX,AccelY,AccelZ,Rud,Ele,Thr,Ail,S1,S2,S3,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH
2015-05-05,22:17:34.150,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,0,10.0,0,100,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:34.350,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,0,10.0,0,100,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:34.550,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,0,10.0,0,100,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:34.750,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,0,10.0,0,100,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:34.950,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,1,10.0,0,100,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:35.150,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,1,10.0,0,100,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:35.350,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,1,10.0,0,100,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:35.550,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,2,10.0,0,100,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:35.750,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,2,10.0,0,100,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:35.950,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,2,10.0,0,100,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:36.150,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,3,10.0,0,100,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:36.350,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,3,10.0,0,100,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:36.550,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,3,10.0,0,100,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:36.760,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,4,10.0,0,100,0,-337,0,-64,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:36.960,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,4,10.0,0,100,0,-901,0,-137,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:37.160,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,4,10.0,0,100,0,-266,0,-91,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:37.360,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,4,10.0,0,100,0,-40,0,-91,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:37.560,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,5,10.0,0,100,0,-92,0,-119,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:37.760,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,5,10.0,0,100,0,-51,0,-101,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:37.960,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,5,10.0,0,100,0,-20,0,-82,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:38.160,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,6,10.0,0,100,0,-20,0,-82,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:38.360,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,6,10.0,0,100,0,0,0,-82,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:38.560,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,6,10.0,0,100,0,0,0,-82,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:38.760,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,7,10.0,0,100,0,0,0,-82,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:38.960,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,7,10.0,0,100,0,0,0,-82,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:39.160,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,7,10.0,0,100,0,0,0,-82,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:39.360,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,7,10.0,0,100,0,0,0,-82,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2015-05-05,22:17:39.560,-,0,0.00,0.00,0.00,0.00,2000-00-00,00:00:00,1006.9533-,4401.7455-,000.00,200, 0.00, 340.00, 0.00,100.0,-30,0,12000,75,0.0,4.10,4.20,4.30,4.40,4.50,4.60,0.00,0.00,0.00,0.00,0.00,0.00,5.5,8,10.0,0,100,0,0,0,-82,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
